pattern,unique_membership_queries,membership_queries,equivalence_queries,precision,recall,f1
a,76,76,2,0,0,0
b,87,87,2,0,0,0
(a|ε),76,76,2,0,0,0
(b|ε),87,87,2,0,0,0
(a*),35,35,1,1.0,1.0,1.0
(b*),35,35,1,1.0,1.0,1.0
(a|a),76,76,2,0,0,0
(a|b),77,77,2,0,0,0
(b|a),77,77,2,0,0,0
(b|b),87,87,2,0,0,0
((a|a)|ε),76,76,2,0,0,0
((a|b)|ε),77,77,2,0,0,0
((b|a)|ε),77,77,2,0,0,0
((b|b)|ε),87,87,2,0,0,0
(aa),33,33,1,0,0,0
(ab),33,33,1,0,0,0
(ba),33,33,1,0,0,0
(bb),33,33,1,0,0,0
((a|a)*),35,35,1,1.0,1.0,1.0
((a|b)*),33,33,1,1.0,1.0,1.0
((b|a)*),33,33,1,1.0,1.0,1.0
((b|b)*),35,35,1,1.0,1.0,1.0
((aa)|ε),33,33,1,0,0,0
((ab)|ε),33,33,1,0,0,0
((ba)|ε),33,33,1,0,0,0
((bb)|ε),33,33,1,0,0,0
(a|(a|a)),76,76,2,0,0,0
(a|(a|b)),77,77,2,0,0,0
(a|(b|a)),77,77,2,0,0,0
(a|(b|b)),77,77,2,0,0,0
(b|(a|a)),77,77,2,0,0,0
(b|(a|b)),77,77,2,0,0,0
(b|(b|a)),77,77,2,0,0,0
(b|(b|b)),87,87,2,0,0,0
((a*)|(a*)),35,35,1,1.0,1.0,1.0
((a*)|(b*)),163,163,3,1.0,1.0,1.0
((b*)|(a*)),163,163,3,1.0,1.0,1.0
((b*)|(b*)),35,35,1,1.0,1.0,1.0
((a|ε)a),33,33,1,0,0,0
((a|ε)b),33,33,1,0,0,0
((b|ε)a),33,33,1,0,0,0
((b|ε)b),33,33,1,0,0,0
(a(a|ε)),33,33,1,0,0,0
(a(b|ε)),33,33,1,0,0,0
(a(a*)),76,76,2,1.0,1.0,1.0
(a(b*)),76,76,2,0,0,0
(b(a|ε)),33,33,1,0,0,0
(b(b|ε)),33,33,1,0,0,0
(b(a*)),80,80,2,1.0,1.0,1.0
(b(b*)),73,73,2,1.0,1.0,1.0
((a*)a),76,76,2,1.0,1.0,1.0
((a*)b),87,87,2,0,0,0
((b*)a),76,76,2,0,0,0
((b*)b),73,73,2,1.0,1.0,1.0
((aa)*),76,76,2,0,0,0
((ab)*),83,83,2,1.0,1.0,1.0
((ba)*),35,35,1,0,0,0
((bb)*),35,35,1,0,0.0,0
((a|(a|a))|ε),76,76,2,0,0,0
((a|(a|b))|ε),77,77,2,0,0,0
((a|(b|a))|ε),77,77,2,0,0,0
((a|(b|b))|ε),77,77,2,0,0,0
((b|(a|a))|ε),77,77,2,0,0,0
((b|(a|b))|ε),77,77,2,0,0,0
((b|(b|a))|ε),77,77,2,0,0,0
((b|(b|b))|ε),87,87,2,0,0,0
(((a*)|(a*))|ε),35,35,1,1.0,1.0,1.0
(((a*)|(b*))|ε),163,163,3,1.0,1.0,1.0
(((b*)|(a*))|ε),163,163,3,1.0,1.0,1.0
(((b*)|(b*))|ε),35,35,1,1.0,1.0,1.0
(((a|ε)a)|ε),33,33,1,0,0,0
(((a|ε)b)|ε),33,33,1,0,0,0
(((b|ε)a)|ε),33,33,1,0,0,0
(((b|ε)b)|ε),33,33,1,0,0,0
((a(a|ε))|ε),33,33,1,0,0,0
((a(b|ε))|ε),33,33,1,0,0,0
((a(a*))|ε),76,76,2,1.0,1.0,1.0
