pattern,unique_membership_queries,membership_queries,equivalence_queries,precision,recall,f1
a,55,55,2,0,0,0
b,59,59,2,0,0,0
(a|ε),55,55,2,0,0,0
(b|ε),59,59,2,0,0,0
(a*),35,35,1,1.0,1.0,1.0
(b*),35,35,1,1.0,1.0,1.0
(a|a),55,55,2,0,0,0
(a|b),55,55,2,0,0,0
(b|a),55,55,2,0,0,0
(b|b),59,59,2,0,0,0
((a|a)|ε),55,55,2,0,0,0
((a|b)|ε),55,55,2,0,0,0
((b|a)|ε),55,55,2,0,0,0
((b|b)|ε),59,59,2,0,0,0
(aa),33,33,1,0,0,0
(ab),33,33,1,0,0,0
(ba),33,33,1,0,0,0
(bb),33,33,1,0,0,0
((a|a)*),35,35,1,1.0,1.0,1.0
((a|b)*),33,33,1,1.0,1.0,1.0
((b|a)*),33,33,1,1.0,1.0,1.0
((b|b)*),35,35,1,1.0,1.0,1.0
((aa)|ε),33,33,1,0,0,0
((ab)|ε),33,33,1,0,0,0
((ba)|ε),33,33,1,0,0,0
((bb)|ε),33,33,1,0,0,0
(a|(a|a)),55,55,2,0,0,0
(a|(a|b)),55,55,2,0,0,0
(a|(b|a)),55,55,2,0,0,0
(a|(b|b)),55,55,2,0,0,0
(b|(a|a)),55,55,2,0,0,0
(b|(a|b)),55,55,2,0,0,0
(b|(b|a)),55,55,2,0,0,0
(b|(b|b)),59,59,2,0,0,0
((a*)|(a*)),35,35,1,1.0,1.0,1.0
((a*)|(b*)),93,93,3,1.0,1.0,1.0
((b*)|(a*)),93,93,3,1.0,1.0,1.0
((b*)|(b*)),35,35,1,1.0,1.0,1.0
((a|ε)a),33,33,1,0,0,0
((a|ε)b),33,33,1,0,0,0
((b|ε)a),33,33,1,0,0,0
((b|ε)b),33,33,1,0,0,0
(a(a|ε)),33,33,1,0,0,0
(a(b|ε)),33,33,1,0,0,0
(a(a*)),54,54,2,1.0,1.0,1.0
(a(b*)),54,54,2,0,0,0
(b(a|ε)),33,33,1,0,0,0
(b(b|ε)),33,33,1,0,0,0
(b(a*)),54,54,2,1.0,1.0,1.0
(b(b*)),55,55,2,1.0,1.0,1.0
((a*)a),54,54,2,1.0,1.0,1.0
((a*)b),58,58,2,0,0,0
((b*)a),55,55,2,0,0,0
((b*)b),55,55,2,1.0,1.0,1.0
((aa)*),35,35,1,0,0,0
((ab)*),35,35,1,0,0.0,0
((ba)*),54,54,2,0,0,0
((bb)*),58,58,2,1.0,1.0,1.0
((a|(a|a))|ε),55,55,2,0,0,0
((a|(a|b))|ε),55,55,2,0,0,0
((a|(b|a))|ε),55,55,2,0,0,0
((a|(b|b))|ε),55,55,2,0,0,0
((b|(a|a))|ε),55,55,2,0,0,0
((b|(a|b))|ε),55,55,2,0,0,0
((b|(b|a))|ε),55,55,2,0,0,0
((b|(b|b))|ε),59,59,2,0,0,0
(((a*)|(a*))|ε),35,35,1,1.0,1.0,1.0
(((a*)|(b*))|ε),93,93,3,1.0,1.0,1.0
(((b*)|(a*))|ε),93,93,3,1.0,1.0,1.0
(((b*)|(b*))|ε),35,35,1,1.0,1.0,1.0
(((a|ε)a)|ε),33,33,1,0,0,0
(((a|ε)b)|ε),33,33,1,0,0,0
(((b|ε)a)|ε),33,33,1,0,0,0
(((b|ε)b)|ε),33,33,1,0,0,0
((a(a|ε))|ε),33,33,1,0,0,0
((a(b|ε))|ε),33,33,1,0,0,0
((a(a*))|ε),54,54,2,1.0,1.0,1.0
((a(b*))|ε),54,54,2,0,0,0
((b(a|ε))|ε),33,33,1,0,0,0
((b(b|ε))|ε),33,33,1,0,0,0
((b(a*))|ε),54,54,2,1.0,1.0,1.0
((b(b*))|ε),55,55,2,1.0,1.0,1.0
(((a*)a)|ε),54,54,2,1.0,1.0,1.0
(((a*)b)|ε),58,58,2,0,0,0
(((b*)a)|ε),55,55,2,0,0,0
(((b*)b)|ε),55,55,2,1.0,1.0,1.0
(a|(a*)),35,35,1,1.0,1.0,1.0
(a|(b*)),53,53,2,1.0,1.0,1.0
(b|(a*)),52,52,2,1.0,1.0,1.0
(b|(b*)),35,35,1,1.0,1.0,1.0
((a|ε)(a|ε)),33,33,1,0,0,0
((a|ε)(b|ε)),33,33,1,0,0,0
((a|ε)(a*)),54,54,2,1.0,1.0,1.0
((a|ε)(b*)),54,54,2,0,0,0
((b|ε)(a|ε)),33,33,1,0,0,0
((b|ε)(b|ε)),33,33,1,0,0,0
((b|ε)(a*)),54,54,2,1.0,1.0,1.0
((b|ε)(b*)),55,55,2,1.0,1.0,1.0
((a*)(a|ε)),54,54,2,1.0,1.0,1.0
((a*)(b|ε)),58,58,2,0,0,0
((a*)(a*)),35,35,1,1.0,1.0,1.0
((a*)(b*)),53,53,2,1.0,1.0,1.0
((b*)(a|ε)),55,55,2,0,0,0
((b*)(b|ε)),55,55,2,1.0,1.0,1.0
((b*)(a*)),53,53,2,1.0,1.0,1.0
((b*)(b*)),35,35,1,1.0,1.0,1.0
((a|(a|a))*),35,35,1,1.0,1.0,1.0
((a|(a|b))*),33,33,1,1.0,1.0,1.0
((a|(b|a))*),33,33,1,1.0,1.0,1.0
((a|(b|b))*),33,33,1,1.0,1.0,1.0
((b|(a|a))*),33,33,1,1.0,1.0,1.0
((b|(a|b))*),33,33,1,1.0,1.0,1.0
((b|(b|a))*),33,33,1,1.0,1.0,1.0
